"GEO_ID","NAME","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048"
"7000000US45063000081","081 Voting District, Lexington County, South Carolina","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6303","267","6036","5940","5110","753","29","42","4","2","96","87","41","20","12","2","5","1","0","1","1","1","0","0","2","1","0","8","1","0","0","0","4","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"7000000US45085000129","Stone Hill Voting District, Sumter County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1029","20","1009","1000","20","978","1","0","0","1","9","8","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US45013000140","MO 1A Voting District, Beaufort County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1522","122","1400","1374","1037","313","7","13","0","4","26","24","14","7","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"7000000US45037000009","Harmony Voting District, Edgefield County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1282","70","1212","1198","851","338","2","6","0","1","14","11","9","1","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US45083000097","Wellford Fire Station Voting District, Spartanburg County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3754","136","3618","3562","2353","1097","8","100","0","4","56","53","36","4","5","0","1","4","1","0","1","0","0","0","1","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US45091000023","Mt. Holly Voting District, York County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4065","104","3961","3913","2543","1320","19","25","2","4","48","42","21","5","10","0","1","1","0","0","1","0","3","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US45063000052","052 Voting District, Lexington County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2600","82","2518","2414","1087","1193","8","104","15","7","104","87","31","10","12","5","0","13","8","3","3","0","0","0","0","2","0","17","9","0","0","1","2","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0"
"7000000US45085000121","Second Mill Voting District, Sumter County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2264","51","2213","2191","1962","190","3","35","0","1","22","20","4","5","5","0","0","2","2","1","0","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"7000000US45085000131","Wilder Voting District, Sumter County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1327","81","1246","1234","117","1112","3","0","0","2","12","9","7","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US45003000009","Belvedere #9 Voting District, Aiken County, South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2771","103","2668","2601","1440","1130","12","15","0","4","67","63","32","7","11","0","0","5","2","2","0","0","0","4","0","0","0","4","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
